2459479.4005652806 0.9999708453 0.0002278055 280.6130598917 29.6239129226 31.5675240824 0.0000016459
2459479.4006986641 1.0000062342 0.0002277365 279.8035291035 29.2321312111 30.7427110756 0.0000017069
2459479.4008320472 0.9997846141 0.0002276964 278.9986607607 29.6029558887 31.0418152545 0.0000017097
2459479.4009654308 1.0001493341 0.0002278154 278.1985061296 29.2286208143 30.9699822876 0.0000017251
2459479.4010988143 0.9996969834 0.0002277572 277.4028335351 28.9424806527 31.2248855527 0.0000017544
2459479.4012321983 0.9997633487 0.0002279244 276.6118975259 29.2849738884 31.1134322537 0.0000016979
2459479.4013655819 0.9996388897 0.0002276446 275.8092141767 30.3476809664 31.5830874097 0.0000016240
2459479.4014989655 0.9997583332 0.0002277190 275.0252491211 29.2243754611 31.1066459452 0.0000017079
2459479.4016323541 0.9999873504 0.0002277485 274.2493542931 29.3351246045 32.0342857911 0.0000016695
2459479.4017657377 0.9995188162 0.0002277029 273.4777735224 29.3405259132 31.3064177397 0.0000017215
2459479.4018991212 0.9995161863 0.0002277226 272.7109566767 29.0437904914 30.8883941453 0.0000017416
2459479.4020325048 0.9999521651 0.0002278148 271.9488935756 29.1947035926 31.0059006841 0.0000017182
2459479.4021658883 0.9997512934 0.0002277045 271.1916305265 28.9389837722 31.3236703356 0.0000016719
2459479.4022992719 0.9999488179 0.0002277901 270.4391278669 29.2795677752 31.7745880437 0.0000016646
2459479.4024326606 1.0003713002 0.0002278547 269.6913210132 29.0610771704 31.9598868455 0.0000016462
2459479.4025660441 1.0002495306 0.0002277909 268.9482932670 29.4881219806 31.7337894774 0.0000016442
2459479.4026994277 0.9999724462 0.0002278513 268.2101020148 29.5812223195 31.4946845341 0.0000017015
2459479.4028328117 0.9996729449 0.0002278159 267.4764938845 29.5087466810 31.2626055360 0.0000017071
2459479.4029661953 0.9998041589 0.0002279547 266.7476441143 29.0527694936 31.1713566704 0.0000016917
2459479.4030995788 0.9998644199 0.0002278710 266.0234971041 29.1440701098 31.1775763161 0.0000016879
2459479.4032329619 1.0004690944 0.0002277752 265.3039705764 29.4361926192 30.6429719744 0.0000016537
2459479.4033663454 1.0002051201 0.0002277156 264.5889946851 29.2045465210 31.1958878045 0.0000016744
2459479.4034997290 1.0000145056 0.0002277463 263.8786109522 28.7694845614 31.3172112041 0.0000016953
2459479.4144372321 0.9997688266 0.0002277747 215.6362001035 29.2861227108 31.5650363798 0.0000018818
2459479.4145706156 1.0001461564 0.0002278205 215.0944460422 28.9671903551 30.5830992817 0.0000018695
2459479.4147039992 1.0001149537 0.0002278787 214.5518739693 29.2860674323 31.2218147340 0.0000019166
2459479.4148373879 1.0002599828 0.0002278241 214.0085111035 29.0314187354 30.7157733175 0.0000020412
2459479.4149707714 0.9999792175 0.0002278012 213.4644606501 29.0199658781 31.1831567475 0.0000020654
2459479.4151041550 1.0000130932 0.0002277897 212.9194333925 28.5490777802 30.4652689851 0.0000021599
2459479.4152375390 1.0001692833 0.0002277860 212.3734166041 29.1861111446 30.7436950898 0.0000023733
2459479.4153709225 1.0002970202 0.0002278797 211.8263592475 28.7890743263 30.5566327622 0.0000024822
2459479.4155043061 0.9996319255 0.0002279319 211.2782298789 29.1598659862 31.2350024049 0.0000028645
2459479.4156376948 0.9996665131 0.0002280165 210.7288938018 29.5440626871 31.3002568223 0.0000032794
2459479.4157710783 1.0000287004 0.0002281130 210.1783655721 28.6545743321 31.7271862841 0.0000035545
2459479.4159044619 0.9996869938 0.0002280801 209.6265737304 29.1364075363 30.9379416068 0.0000041392
2459479.4160378510 1.0000005930 0.0002282920 209.0733982445 29.6845805901 30.9156497234 0.0000047274
2459479.4161712346 0.9997459469 0.0002283197 208.5187642026 29.4187878016 30.5064355624 0.0000055006
2459479.4163046181 0.9998511694 0.0002283958 207.9626289442 29.2896341678 30.2404119947 0.0000064663
2459479.4164380073 0.9998982071 0.0002288188 207.4049693817 29.0919809238 30.8337709691 0.0000080100
2459479.4165713908 0.9996275853 0.0002290076 206.8456700304 29.5513437913 31.2144621586 0.0000101968
2459479.4167047744 1.0001492022 0.0002294685 206.2846202639 29.8873372954 31.8701250504 0.0000134212
2459479.4168381579 1.0001064452 0.0002300003 205.7219786020 30.2464336236 31.8118895650 0.0000172090
2459479.4169715415 1.0000873651 0.0002305904 205.1574395780 30.3272536761 31.8453589407 0.0000213793
2459479.4171049250 1.0003647992 0.0002312208 204.5909901592 29.3057662749 31.1177983780 0.0000264417
